user id,Week number,Adherence_propensity,Age_band,BMI,Budjet_SAR_per_day,Cooking_skill,Current_fitness_level,Days_per_week,Primary_goal,Sex,Sleep_hours
P01,Week_2025_46,0.75,18–29,Normal,,beginner,Beginner,4,muscle_gain,M,6.86
P01,Week_2025_47,0.75,18–29,Normal,,beginner,Beginner,4,muscle_gain,M,7
P01,Week_2025_48,0.75,18–29,Normal,,beginner,Beginner,4,muscle_gain,M,7
P01,Week_2025_49,0.75,18–29,Normal,,beginner,Beginner,4,muscle_gain,M,7
P01,Week_2025_50,0.75,18–29,Normal,,beginner,Beginner,4,muscle_gain,M,7
P01,Week_2025_51,0.75,18–29,Normal,,beginner,Beginner,4,muscle_gain,M,7
P01,Week_2025_52,0.75,18–29,Normal,,beginner,Beginner,4,muscle_gain,M,7
P01,Week_2026_1,0.75,18–29,Normal,,beginner,Beginner,4,muscle_gain,M,7
P01,Week_2026_10,0.75,18–29,Normal,,beginner,Beginner,4,muscle_gain,M,7
P01,Week_2026_11,0.75,18–29,Normal,,beginner,Beginner,4,muscle_gain,M,7
P01,Week_2026_12,0.75,18–29,Normal,,beginner,Beginner,4,muscle_gain,M,7
P01,Week_2026_13,0.75,18–29,Normal,,beginner,Beginner,4,muscle_gain,M,7
P01,Week_2026_14,0.75,18–29,Normal,,beginner,Beginner,4,muscle_gain,M,7
P01,Week_2026_15,0.75,18–29,Normal,,beginner,Beginner,4,muscle_gain,M,7
P01,Week_2026_16,0.75,18–29,Normal,,beginner,Beginner,4,muscle_gain,M,7
P01,Week_2026_17,0.75,18–29,Normal,,beginner,Beginner,4,muscle_gain,M,7
P01,Week_2026_18,0.75,18–29,Normal,,beginner,Beginner,4,muscle_gain,M,7
P01,Week_2026_19,0.75,18–29,Normal,,beginner,Beginner,4,muscle_gain,M,7
P01,Week_2026_2,0.75,18–29,Normal,,beginner,Beginner,4,muscle_gain,M,7
P01,Week_2026_20,0.75,18–29,Normal,,beginner,Beginner,4,muscle_gain,M,7
P01,Week_2026_21,0.75,18–29,Normal,,beginner,Beginner,4,muscle_gain,M,7
P01,Week_2026_22,0.75,18–29,Normal,,beginner,Beginner,4,muscle_gain,M,7
P01,Week_2026_23,0.75,18–29,Normal,,beginner,Beginner,4,muscle_gain,M,7
P01,Week_2026_24,0.75,18–29,Normal,,beginner,Beginner,4,muscle_gain,M,7
P01,Week_2026_25,0.75,18–29,Normal,,beginner,Beginner,4,muscle_gain,M,7
P01,Week_2026_26,0.75,18–29,Normal,,beginner,Beginner,4,muscle_gain,M,7
P01,Week_2026_27,0.75,18–29,Normal,,beginner,Beginner,4,muscle_gain,M,7
P01,Week_2026_28,0.75,18–29,Normal,,beginner,Beginner,4,muscle_gain,M,7
P01,Week_2026_29,0.75,18–29,Normal,,beginner,Beginner,4,muscle_gain,M,7
P01,Week_2026_3,0.75,18–29,Normal,,beginner,Beginner,4,muscle_gain,M,7
P01,Week_2026_30,0.75,18–29,Normal,,beginner,Beginner,4,muscle_gain,M,7
